CNPJ,RazaoSocial,Trimestre,Ano,ValorDespesas
333239,PENDENTE_ENRIQUECIMENTO,1T,2025,529789.96
333689,PENDENTE_ENRIQUECIMENTO,1T,2025,425343.94
334154,PENDENTE_ENRIQUECIMENTO,1T,2025,597587.5
335100,PENDENTE_ENRIQUECIMENTO,1T,2025,27335201.81
335215,PENDENTE_ENRIQUECIMENTO,1T,2025,38242321.44
337561,PENDENTE_ENRIQUECIMENTO,1T,2025,4811.79
334561,PENDENTE_ENRIQUECIMENTO,1T,2025,17755126.73
335614,PENDENTE_ENRIQUECIMENTO,1T,2025,513292405.9
336017,PENDENTE_ENRIQUECIMENTO,1T,2025,5013.27
336831,PENDENTE_ENRIQUECIMENTO,1T,2025,116398.19
337668,PENDENTE_ENRIQUECIMENTO,1T,2025,3615341.11
333808,PENDENTE_ENRIQUECIMENTO,1T,2025,2505.58
335258,PENDENTE_ENRIQUECIMENTO,1T,2025,56672.69
335541,PENDENTE_ENRIQUECIMENTO,1T,2025,1392535.79
337374,PENDENTE_ENRIQUECIMENTO,1T,2025,2309171.58
331988,PENDENTE_ENRIQUECIMENTO,1T,2025,6573559.52
333867,PENDENTE_ENRIQUECIMENTO,1T,2025,550228.39
335479,PENDENTE_ENRIQUECIMENTO,1T,2025,941819.42
331651,PENDENTE_ENRIQUECIMENTO,1T,2025,28638568.33
334243,PENDENTE_ENRIQUECIMENTO,1T,2025,477.76
335754,PENDENTE_ENRIQUECIMENTO,1T,2025,492811.95
343153,PENDENTE_ENRIQUECIMENTO,1T,2025,2135090.9
343404,PENDENTE_ENRIQUECIMENTO,1T,2025,1364399.45
343684,PENDENTE_ENRIQUECIMENTO,1T,2025,214650.35
343889,PENDENTE_ENRIQUECIMENTO,1T,2025,622.82
338648,PENDENTE_ENRIQUECIMENTO,1T,2025,8950.97
339679,PENDENTE_ENRIQUECIMENTO,1T,2025,37325420.41
340952,PENDENTE_ENRIQUECIMENTO,1T,2025,24679.56
342033,PENDENTE_ENRIQUECIMENTO,1T,2025,5899547.9
342084,PENDENTE_ENRIQUECIMENTO,1T,2025,72739.69
342203,PENDENTE_ENRIQUECIMENTO,1T,2025,22121.09
342556,PENDENTE_ENRIQUECIMENTO,1T,2025,268281.71
342955,PENDENTE_ENRIQUECIMENTO,1T,2025,107683.04
343269,PENDENTE_ENRIQUECIMENTO,1T,2025,8808575.95
343722,PENDENTE_ENRIQUECIMENTO,1T,2025,34339.83
343765,PENDENTE_ENRIQUECIMENTO,1T,2025,44010.62
342131,PENDENTE_ENRIQUECIMENTO,1T,2025,218011.05
342343,PENDENTE_ENRIQUECIMENTO,1T,2025,190934.18
343463,PENDENTE_ENRIQUECIMENTO,1T,2025,1478651.89
344141,PENDENTE_ENRIQUECIMENTO,1T,2025,2109882.23
337871,PENDENTE_ENRIQUECIMENTO,1T,2025,127064.7
340251,PENDENTE_ENRIQUECIMENTO,1T,2025,21272928.93
343056,PENDENTE_ENRIQUECIMENTO,1T,2025,64238.16
344184,PENDENTE_ENRIQUECIMENTO,1T,2025,1178718.76
339954,PENDENTE_ENRIQUECIMENTO,1T,2025,11411473.41
343676,PENDENTE_ENRIQUECIMENTO,1T,2025,378314.8
344362,PENDENTE_ENRIQUECIMENTO,1T,2025,848355.65
339458,PENDENTE_ENRIQUECIMENTO,1T,2025,371543.52
341819,PENDENTE_ENRIQUECIMENTO,1T,2025,1098.9
342611,PENDENTE_ENRIQUECIMENTO,1T,2025,7742953.71
340782,PENDENTE_ENRIQUECIMENTO,1T,2025,3344218.16
343064,PENDENTE_ENRIQUECIMENTO,1T,2025,629506.48
342157,PENDENTE_ENRIQUECIMENTO,1T,2025,102001.19
324213,PENDENTE_ENRIQUECIMENTO,1T,2025,254601.11
319872,PENDENTE_ENRIQUECIMENTO,1T,2025,1496755.94
320838,PENDENTE_ENRIQUECIMENTO,1T,2025,28357.76
321125,PENDENTE_ENRIQUECIMENTO,1T,2025,1513118.46
321958,PENDENTE_ENRIQUECIMENTO,1T,2025,167582.9
000477,PENDENTE_ENRIQUECIMENTO,1T,2025,14344.42
000582,PENDENTE_ENRIQUECIMENTO,1T,2025,2005935.45
000884,PENDENTE_ENRIQUECIMENTO,1T,2025,70926356.61
000701,PENDENTE_ENRIQUECIMENTO,1T,2025,2358832.86
005711,PENDENTE_ENRIQUECIMENTO,1T,2025,227309708.58
000515,PENDENTE_ENRIQUECIMENTO,1T,2025,6821.1
328537,PENDENTE_ENRIQUECIMENTO,1T,2025,1437186.17
329339,PENDENTE_ENRIQUECIMENTO,1T,2025,9612000.48
329886,PENDENTE_ENRIQUECIMENTO,1T,2025,364848.19
330116,PENDENTE_ENRIQUECIMENTO,1T,2025,12591.91
330264,PENDENTE_ENRIQUECIMENTO,1T,2025,708877.52
330566,PENDENTE_ENRIQUECIMENTO,1T,2025,170734.16
330809,PENDENTE_ENRIQUECIMENTO,1T,2025,2240.81
331341,PENDENTE_ENRIQUECIMENTO,1T,2025,1635732.91
324493,PENDENTE_ENRIQUECIMENTO,1T,2025,244770.52
325031,PENDENTE_ENRIQUECIMENTO,1T,2025,727754.97
325465,PENDENTE_ENRIQUECIMENTO,1T,2025,11239233.02
326305,PENDENTE_ENRIQUECIMENTO,1T,2025,22822823.47
326755,PENDENTE_ENRIQUECIMENTO,1T,2025,7058427.49
327352,PENDENTE_ENRIQUECIMENTO,1T,2025,184738.27
327468,PENDENTE_ENRIQUECIMENTO,1T,2025,197855.35
327689,PENDENTE_ENRIQUECIMENTO,1T,2025,1059355.29
328308,PENDENTE_ENRIQUECIMENTO,1T,2025,91303.8
324345,PENDENTE_ENRIQUECIMENTO,1T,2025,1156491.3
330892,PENDENTE_ENRIQUECIMENTO,1T,2025,5108.07
325571,PENDENTE_ENRIQUECIMENTO,1T,2025,1550712.73
330108,PENDENTE_ENRIQUECIMENTO,1T,2025,781456.55
324523,PENDENTE_ENRIQUECIMENTO,1T,2025,30752.71
325082,PENDENTE_ENRIQUECIMENTO,1T,2025,4000.0
327557,PENDENTE_ENRIQUECIMENTO,1T,2025,943910.99
325236,PENDENTE_ENRIQUECIMENTO,1T,2025,30795470.45
328031,PENDENTE_ENRIQUECIMENTO,1T,2025,204079.78
328375,PENDENTE_ENRIQUECIMENTO,1T,2025,77301.61
330281,PENDENTE_ENRIQUECIMENTO,1T,2025,28232.71
324566,PENDENTE_ENRIQUECIMENTO,1T,2025,968525.65
326861,PENDENTE_ENRIQUECIMENTO,1T,2025,614788.73
331104,PENDENTE_ENRIQUECIMENTO,1T,2025,8503.78
324361,PENDENTE_ENRIQUECIMENTO,1T,2025,1629075.86
328294,PENDENTE_ENRIQUECIMENTO,1T,2025,1196360.39
417599,PENDENTE_ENRIQUECIMENTO,1T,2025,396824.57
417696,PENDENTE_ENRIQUECIMENTO,1T,2025,135814.23
417947,PENDENTE_ENRIQUECIMENTO,1T,2025,2825178.32
418072,PENDENTE_ENRIQUECIMENTO,1T,2025,569046.18
415936,PENDENTE_ENRIQUECIMENTO,1T,2025,1417.8
415944,PENDENTE_ENRIQUECIMENTO,1T,2025,3132.44
