CNPJ,RazaoSocial,UF,Total_Despesas,Media_Trimestral,Desvio_Padrao
79831608000118,SIM - CAIXA DE ASSISTÊNCIA À SAÚDE,SC,771765.93,192941.4825,200778.56197868977
08097092000181,CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DA EMPRESA BRASILEIRA DE PESQUISA  AGROPECUÁRIA,DF,770839.97,192709.9925,374197.85916322423
51421959000131,VCT PLANOS DE SAUDE LTDA,MG,770217.31,192554.3275,225748.8644330364
37020290000145,TRINO - ALIANCA FILANTRÓPICA DE ASSISTÊNCIA E INTEGRAÇÃO PARA O DESENVOLVIMENTO DA SAUDE,ES,756174.52,189043.63,219091.59544855345
84112481000117,"FEDERAÇÃO DAS SOCIEDADES COOPERATIVAS DE TRABALHO MÉDICO DO ACRE, AMAPÁ, AMAZONAS, PARÁ, RONDONIA E RORAIMA",AM,749190.18,374595.09,0.0
05774975000190,SERVDONTO - PLANO DE ASSISTÊNCIA ODONTOLÓGICA LTDA,SE,733353.2,183338.3,155719.1691170234
11641931000195,FEBRAFITE SAUDE,DF,726621.9099999999,181655.47749999998,105266.10364974294
29754208000188,VALE PLANOS DE SAÚDE LTDA,PE,719920.09,179980.0225,172197.5451081467
86584901000193,UNIMED MACHADO COOPERATIVA DE TRABALHO MEDICO,MG,718867.02,179716.755,205492.73660703248
71565659000133,ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE ITAPETININGA,SP,709255.93,177313.9825,119390.7012047634
34269803000168,REAL GRANDEZA - FUNDAÇÃO DE PREVIDÊNCIA E ASSISTÊNCIA SOCIAL,RJ,707863.49,176965.8725,190774.58514634552
08315806000180,UNIMED PATOS - COOPERATIVA DE TRABALHO MÉDICO,PB,700974.36,175243.59,98748.16729352297
89100135000132,UNIMED PLANALTO CENTRAL/RS - COOPERATIVA DE ASSISTÊNCIA  À SAÚDE LTDA.,RS,697645.02,174411.255,154538.7128503803
22263081000155,HOSPITAL CESAR LEITE,MG,692843.9299999999,173210.98249999998,5913.308973935401
04202013000102,POLICLIN SAÚDE S/A.,SP,689295.67,172323.9175,193879.54436855172
01476619000130,UNIMED GURUPI COOPERATIVA DE TRABALHO MÉDICO,TO,648236.69,162059.1725,110260.32435672359
04299994000140,PLAMEDH - PLANO DE ASSISTÊNCIA MÉDICO-HOSPITALAR LTDA,MG,642076.71,214025.56999999998,158214.68331211328
03670297000190,MH VIDA - OPERADORA DE PLANOS DE SAÚDE LTDA,RJ,620540.36,155135.09,162641.2993411524
41248894000110,VIDA TOP MAIS SAÚDE OPERADORA DE PLANOS DE SAÚDE LTDA.,SP,608040.89,152010.2225,60202.576309576856
42465310000121,TELOS - FUNDAÇÃO EMBRATEL DE SEGURIDADE SOCIAL,RJ,592995.22,148248.805,167037.4448107213
02888465000156,OPERADORA UNICENTRAL DE PLANOS DE SAÚDE LTDA.,SP,581988.63,145497.1575,31759.874020688825
00532888000103,UNIMED REGIÃO DA PRODUÇÃO/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA,RS,578411.97,144602.9925,91142.004503285
37652765000116,UNIMED DE JATAÍ COOPERATIVA DE TRABALHO MÉDICO LTDA.,GO,577003.03,144250.7575,227412.8207289506
29604093000145,VITTA SAUDE ADMINISTRADORA DE BENEFICIOS LTDA.,SP,567231.28,141807.82,136095.01537545378
12585261000108,FUNDAÇAO COMPESA DE PREVIDENCIA E ASSISTENCIA - COMPESAPREV,PE,558627.5700000001,139656.89250000002,125076.34027928872
39149389000177,LIVRI OPERADORA DE PLANO DE SAÚDE LTDA,SP,544001.42,136000.355,108747.68008523385
25810946000144,UNIMED BARBACENA - COOPERATIVA DE TRABALHO MÉDICO LTDA,MG,543087.62,135771.905,84131.99539940736
25471574000179,UNIMED SÃO LOURENÇO COOPERATIVA DE TRABALHO MÉDICO,MG,528236.29,132059.0725,70289.65067341013
87689527000153,UNIMED FRONTEIRA NOROESTE/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.,RS,519199.43,129799.8575,79395.27984759856
00012698000165,UNIMED DE PENAPOLIS - COOPERATIVA DE TRABALHO MEDICO,SP,518370.38,129592.595,108558.62548038227
41871989000196,UNIMED ITUIUTABA COOPERATIVA TRABALHO MÉDICO LTDA.,MG,517378.31,129344.5775,63033.00302783845
19679483000120,QV BENEFÍCIOS EM SAÚDE LTDA,RJ,498405.49000000005,124601.37250000001,141624.44486795217
51628360000173,PRONTO SOCORRO CONDE DE MOREIRA LIMA,SP,479190.75,119797.6875,90555.84706241683
47432143000136,PLENUM ASSISTENCIA MEDICA  LTDA,DF,474477.11000000004,158159.03666666668,221384.26790043898
00885918000165,HOSPITAIS E CLÍNICAS DO PIAUÍ S/S LTDA,PI,441075.73,110268.9325,212028.588473021
04430627000133,PLANO VIDA SAUDE SERVIÇOS ODONTOLOGICOS LTDA,SE,433735.72,108433.93,98288.30138424206
15308521000188,UNIODONTO BELÉM - COOPERATIVA DE ASSISTÊNCIA À SAÚDE ODONTOLÓGICA,PA,426679.07,106669.7675,58626.82331278256
04165719000133,GS PLANO GLOBAL DE SAÚDE LTDA,RJ,426061.27,106515.3175,71019.569104137
42115166000101,REAL GRANDEZA SAÚDE,RJ,418711.97,104677.9925,91108.78150543754
62635990000191,ASSOCIACAO DOS AUDITORES FISCAIS DA RECEITA ESTADUAL DE SAO PAULO,SP,412973.95999999996,103243.48999999999,92010.29686077568
19304091000187,SORRIDEN CONVÊNIOS ODONTOLÓGICOS S.A.,SP,405183.89999999997,101295.97499999999,108805.91483935343
60499365000134,FUNDACAO LEONOR DE BARROS CAMARGO,SP,404230.05000000005,101057.51250000001,167632.77657934447
01367538000100,UNIODONTO MARINGA COOPERATIVA ODONTOLOGICA,PR,401692.41000000003,100423.10250000001,179829.81699048806
11973134000105,SUL AMÉRICA ODONTOLÓGICO S/A,SP,397567.65,99391.9125,56347.44340097628
17698381000127,QUALICORP CLUBE DE SAÚDE ADMINISTRADORA DE BENEFÍCIOS LTDA.,SP,375387.44999999995,93846.86249999999,62283.750698402
51212821000122,SAGRADA SAÚDE ASSISTÊNCIA MÉDICA LTDA,MG,368119.97000000003,92029.99250000001,99572.41223503406
42946061000196,UNIMED ALFENAS COOPERATIVA DE TRABALHO MEDICO,MG,364704.48,91176.12,72589.22445742849
09306242000182,ASSOCIAÇÃO DOS AUDITORES FISCAIS DO ESTADO DA PARAÍBA - AFRAFEP,PB,364594.47,91148.6175,81411.62563717927
02018620000183,UNIMED DE CORUMBA COOPERATIVA DE TRABALHO MÉDICO,MS,363664.36,90916.09,108984.13783718925
11828089000103,LUMINAR SAÚDE - ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE,DF,359345.66,89836.415,62003.08315621812
19969500000164,DESBAN - FUNDAÇÃO BDMG DE SEGURIDADE SOCIAL,MG,347453.02999999997,86863.25749999999,55860.13210672908
51262335000119,CLÍNICA SÃO GABRIEL S/S LTDA,SP,344366.0,86091.5,129825.89346417558
00648506000101,ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE PRESIDENTE VENCESLAU,SP,344328.94999999995,86082.23749999999,41899.93174309745
02858169000102,NOSAMED ASSISTÊNCIA MÉDICA LTDA.,SP,336946.95999999996,84236.73999999999,55874.57679024692
17143876000190,AME-ASSISTÊNCIA MÉDICA A EMPRESAS LTDA,MG,324417.94,81104.485,26064.176129720658
18987107000130,CEAM BRASIL - PLANOS DE SAÚDE LTDA,MG,322956.62,161478.31,0.0
04197511000104,CAIXA DE ASSISTÊNCIA DO SINDFISCO - CASSIND,SE,317933.72,79483.43,74811.18093708051
90747908000156,SULMED - ASSISTÊNCIA MÉDICA LTDA,RS,315858.37,78964.5925,66694.61171023907
11996146000155,CAIXA DE ASSISTÊNCIA À SAÚDE DO SINDICATO DOS FUNCIONÁRIOS INTEGRANTES DO GRUPO OCUPACIONAL ADMINISTRAÇÃO TRIBUTÁRIA DO ESTADO DE PERNAMBUCO,PE,311354.81,77838.7025,100175.21063433253
00342481000113,UNIMED CALDAS NOVAS - COOPERATIVA DE TRABALHO MEDICO,GO,302921.39,75730.3475,51435.634132364816
17333055000116,UNIODONTO UBERABA - COOPERATIVA DE ASSISTÊNCIA À SAÚDE ODONTOLÓGICA LTDA,MG,300546.45999999996,75136.61499999999,113081.21460735657
46024429000110,XP ADMINISTRADORA DE BENEFÍCIOS LTDA.,SP,291555.68,72888.92,30906.809198055373
69612158000119,UNIMED REGIONAL DE PICOS - COOPERATIVA DE TRABALHO MÉDICO,PI,277960.85,69490.2125,23029.285
03980208000102,UNIMED REGIONAL DE TRES LAGOAS COOPERATIVA DE TRABALHO MÉDICO,MS,276293.66,69073.415,76155.34267570442
58702853000155,UNIODONTO DE SOROCABA COOPERATIVA ODONTOLÓGICA,SP,270403.87,67600.9675,120014.76416010027
07270625000112,FEDERAÇÃO DAS COOP ODONTOLÓGICAS DO ESTADO DE SANTA CATARINA,SC,267781.97,66945.4925,50268.529594041494
02064028000118,UNIODONTO DE PINDAMONHANGABA COOP ODONTOLOGICA,SP,262778.5,65694.625,119462.0013880789
92316124000107,UNIMED REGIÃO DA FRONTEIRA - RS COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.,RS,257916.47,64479.1175,15446.48669127789
34673588000166,BIT LIFE BENEFÍCIOS LTDA,SP,256869.21000000002,64217.302500000005,35284.590131563455
68687722000108,G & M ASSESSORIA MEDICA EMPRESARIAL LTDA,RJ,256583.72999999998,64145.932499999995,43723.64814912816
55081563000143,AP ADMINISTRAÇÃO DE BENEFICIOS - SOCIEDADE SIMPLES UNIPESSOAL LIMITADA,SP,253944.81,84648.27,69486.51822109669
17048922000171,ODONTO PRIME S/S LTDA,CE,252059.01,63014.7525,24283.770504767686
00763923000103,UNIMED ALTO PARANAIBA COOPERATIVA DE TRABALHO MEDICO,MG,241366.38,60341.595,68725.57416195201
67577171000159,UNIMED DE MONTE ALTO - COOPERATIVA DE TRABALHO MÉDICO,SP,236046.84000000003,59011.71000000001,39853.27595445407
11336728000105,ASSOCIAÇÃO SAÚDE RURAL ALEGRETE,RS,233843.25,58460.8125,65013.0345263155
04612990000170,UNIMED DE MANAUS COOP. DO TRABALHO MÉDICO LTDA,AM,226961.24000000002,56740.310000000005,110272.49334373373
